t,dx,dy,dz,ax,ay,az
6.54,4.49065,-6.61199,-23.70584,-23.59962,-9.39985,30.99951
6.56,4.559,-6.51443,-23.69645,-17.69972,36.59942,28.79954
6.58,4.62014,-6.41002,-23.67657,-12.89979,4.49993,15.39975
6.6,4.67673,-6.3097,-23.64979,-1.79997,-86.59862,8.49986
6.62,4.73368,-6.22608,-23.62045,20.29968,1.39998,-7.59988
6.64,4.79341,-6.14346,-23.59351,-10.79983,73.59883,-18.09971
6.66,4.85209,-6.04127,-23.57451,-9.09986,46.99925,-36.59942
6.68,4.9075,-5.92467,-23.56748,-3.39995,-23.69962,-29.09954
6.7,4.96025,-5.81234,-23.56997,-10.59983,-42.59932,-1.29998
6.72,5.0094,-5.71175,-23.5728,-11.09982,-8.59986,27.39956
6.74,5.05427,-5.61323,-23.56775,-9.89984,38.79938,24.49961
6.76,5.096,-5.51087,-23.55388,-0.2,-30.69951,10.89983
6.78,5.13742,-5.42305,-23.53438,7.29988,-122.99804,9.19985
6.8,5.18261,-5.36636,-23.51289,23.49963,-34.79944,-10.29984
6.82,5.23676,-5.3255,-23.49486,35.49943,34.09945,-23.99962
6.84,5.30738,-5.27028,-23.48664,70.49888,109.99825,-40.69935
6.86,5.40343,-5.19351,-23.49414,77.89876,-38.79938,-52.59916
6.88,5.52393,-5.12418,-23.52108,18.39971,-106.9983,-49.39921
6.9,5.65325,-5.08531,-23.57026,-26.29958,-51.99917,-71.89886
6.92,5.77789,-5.06935,-23.64391,-12.3998,-18.29971,-52.29917
6.94,5.89698,-5.05684,-23.73773,-4.19993,53.89914,-25.99959
6.96,6.01556,-5.03111,-23.84058,15.89975,42.49932,13.09979
6.98,6.13736,-4.99451,-23.93639,4.79992,-30.39952,69.2989
7,6.2595,-4.96253,-24.00822,-21.89965,-28.09955,87.29861
7.02,6.37305,-4.93942,-24.04942,-46.69926,-2.19997,61.59902
7.04,6.47077,-4.91405,-24.06529,-42.79932,54.79913,41.89933
7.06,6.55309,-4.87522,-24.06744,-21.59966,27.09957,-9.09986
7.08,6.62635,-4.82471,-24.07263,-4.29993,7.49988,-54.89913
7.1,6.69817,-4.77311,-24.09891,15.89975,-31.2995,-92.89852
7.12,6.77591,-4.72684,-24.15771,31.99949,1.49998,-85.29864
7.14,6.86582,-4.68687,-24.24855,41.89933,-34.79944,-57.79908
7.16,6.96851,-4.6568,-24.36336,12.2998,-31.0995,-39.59937
7.18,7.07624,-4.63594,-24.49836,-15.99974,4.59993,-65.79895
7.2,7.17994,-4.61432,-24.65758,-20.39967,29.39953,-71.79886
7.22,7.27711,-4.58548,-24.84106,-8.19987,8.59986,-34.09945
7.24,7.36853,-4.54704,-25.03888,-20.59967,49.19922,-4.29993
7.26,7.45362,-4.49592,-25.23827,-13.69978,19.59969,26.19958
7.28,7.53334,-4.44099,-25.42709,-5.49991,-50.4992,56.6991
7.3,7.6111,-4.3922,-25.59386,5.29992,19.79968,80.09872
7.32,7.69069,-4.34049,-25.72925,13.39979,39.89937,96.09847
7.34,7.77613,-4.27661,-25.82876,26.59958,21.99965,85.59863
7.36,7.87053,-4.20483,-25.89484,23.19963,-5.19992,66.09895
