t,dx,dy,dz,ax,ay,az
2.920000,-19.28783549,-4.46349791,-9.01185636,-84.62370000,51.82374000,36.42662000
2.930000,-19.32301587,-4.49766493,-8.86600409,-59.28370000,191.82374000,18.26662000
2.940000,-19.36342239,-4.51552429,-8.71820012,-9.91370000,212.80374000,6.65662000
2.950000,-19.40505580,-4.51746199,-8.57004672,25.97630000,15.40374000,-16.05338000
2.960000,-19.44504136,-4.51865279,-8.42399389,19.81630000,-217.76626000,-57.02338000
2.970000,-19.48313406,-4.53463344,-8.28334987,6.04630000,-175.49626000,-84.70338000
2.980000,-19.52027965,-4.56294742,-8.15106916,1.91630000,71.39374000,-106.55338000
2.990000,-19.55731063,-4.58547376,-8.02901502,-9.35370000,260.18374000,-109.70338000
3.000000,-19.59503425,-4.58644443,-7.91642594,-14.97370000,266.43374000,-51.09338000
3.010000,-19.63379477,-4.56573070,-7.80946017,-6.23370000,70.29374000,-11.49338000
3.020000,-19.67357043,-4.54014507,-7.70614422,-17.22370000,-216.17626000,-70.36338000
3.030000,-19.71564923,-4.53130253,-7.61050259,-55.50370000,-311.69626000,-153.20338000
3.040000,-19.76250292,-4.54514983,-7.52934651,-66.82370000,-72.05626000,-201.10338000
3.050000,-19.81456175,-4.56532373,-7.46761775,-23.11370000,198.71374000,-220.13338000
3.060000,-19.86834748,-4.57181097,-7.42672731,39.91630000,218.06374000,-190.61338000
3.070000,-19.91843734,-4.55971880,-7.40438993,87.05630000,104.30374000,-139.21338000
3.080000,-19.96058835,-4.53765373,-7.39773386,99.46630000,-31.78626000,-156.66338000
3.090000,-19.99298375,-4.51692401,-7.40841811,100.17630000,-98.17626000,-239.52338000
